Subsystem;Alarm Description;ALID;SetEventCEID;ClearEventCEID;Alarm Code
GeminiFB.PP1.C.CLM.DataValueMonitoringSystem;Monitored data value 'SpinnerChuck Current Axis Velocity' is out of set limits. Process for currently loaded substrate(s) will be finished.;30448;30449;30450;ParameterControlError
GeminiFB.PP1.C.CLM.DataValueMonitoringSystem;Monitored data value 'SpinnerChuck Commanded Axis Velocity' is out of set limits. Operator decision is necessary before unloading.;30451;30452;30453;ParameterControlWarning
GeminiFB.PP1.C.CLM.DataValueMonitoringSystem;Monitored data value 'DI Water Center - Flow Flow (l/min)' is out of set limits. Process start is not possible.;30454;30455;30456;ParameterControlError
GeminiFB.PP1.C.CLM.DataValueMonitoringSystem;Monitored data value 'Chemistry2 - Flow Flow (ml/min)' is out of set limits. Operator decision is necessary before starting next process step.;30457;30458;30459;ParameterControlError
GeminiFB.PP1.C.CLM.DataValueMonitoringSystem;Monitored data value 'DI Water Center - Flow Flow (l/min)' is out of set limits. Operator decision is necessary before unloading.;30460;30461;30462;ParameterControlWarning
GeminiFB.PP1.C.CLM.DataValueMonitoringSystem;Monitored data value 'DI Water SA - Flow Flow (ml/min)' is out of set limits. Immediate operator decision is necessary.;30463;30464;30465;ParameterControlError
GeminiFB.PP1.C.CLM.DataValueMonitoringSystem;Monitored data value 'MegasonicAreaTransducer Temperature1' is out of set limits. Operator decision is necessary before unloading.;30466;30467;30468;ParameterControlWarning
GeminiFB.PP1.C.CLM.DataValueMonitoringSystem;Monitored data value 'SpinnerChuck VacuumValue' is out of set limits. Immediate process abort is necessary.;30469;30470;30471;ParameterControlError
GeminiFB.PP1.C.CLM.DataValueMonitoringSystem;Monitored data value 'Chemistry1 - Flow Flow (ml/min)' is out of set limits. Operator decision is necessary before unloading.;30472;30473;30474;ParameterControlWarning
GeminiFB.PP1.C.CLM.DataValueMonitoringSystem;Monitored data value 'DI Water SA - Flow Flow (ml/min)' is out of set limits. Load of substrates onto module is not possible.;30475;30476;30477;ParameterControlError
GeminiFB.PP1.C.CLM.DataValueMonitoringSystem;Monitored data value 'DI Water SA - Flow Flow (l/min)' is out of set limits. Load of substrates onto module is not possible.;30478;30479;30480;ParameterControlError
GeminiFB.PP1.C.CLM.DataValueMonitoringSystem;Monitored data value 'MegasonicAreaTransducer Temperature1' is out of set limits. Process for currently loaded substrate(s) will be finished.;30481;30482;30483;ParameterControlError
GeminiFB.PP1.C.CLM.DataValueMonitoringSystem;Monitored data value 'DI Water BSR - Flow Flow (ml/min)' is out of set limits. Process start is not possible.;30484;30485;30486;ParameterControlError
GeminiFB.PP1.C.CLM.DataValueMonitoringSystem;Monitored data value 'Chemistry1 - Flow Flow (l/min)' is out of set limits. Load of substrates onto module is not possible.;30487;30488;30489;ParameterControlError
GeminiFB.PP1.C.CLM.DataValueMonitoringSystem;Monitored data value 'SpinnerChuck Current Axis Velocity' is out of set limits. Operator decision is necessary before starting next process step.;30490;30491;30492;ParameterControlError
GeminiFB.PP1.C.CLM.DataValueMonitoringSystem;Monitored data value 'DI Water BSR - Flow Flow (ml/min)' is out of set limits. Immediate operator decision is necessary.;30493;30494;30495;ParameterControlError
GeminiFB.PP1.C.CLM.DataValueMonitoringSystem;Monitored data value 'DI Water BSR - Flow Flow (l/min)' is out of set limits. Process start is not possible.;30496;30497;30498;ParameterControlError
GeminiFB.PP1.C.CLM.DataValueMonitoringSystem;Monitored data value 'MegasonicAreaTransducer Temperature1' is out of set limits. Operator decision is necessary before starting next process step.;30499;30500;30501;ParameterControlError
GeminiFB.PP1.C.CLM.DataValueMonitoringSystem;Monitored data value 'DI Water Center - Flow Flow (l/min)' is out of set limits. Operator decision is necessary before starting next process step.;30502;30503;30504;ParameterControlError
GeminiFB.PP1.C.CLM.DataValueMonitoringSystem;Monitored data value 'MegasonicAreaTransducer Temperature2' is out of set limits. Load of substrates onto module is not possible.;30505;30506;30507;ParameterControlError
GeminiFB.PP1.C.CLM.DataValueMonitoringSystem;Monitored data value 'Chemistry1 - Flow Flow (ml/min)' is out of set limits. Load of substrates onto module is not possible.;30508;30509;30510;ParameterControlError
GeminiFB.PP1.C.CLM.DataValueMonitoringSystem;Monitored data value 'MegasonicAreaTransducer Temperature1' is out of set limits. Load of substrates onto module is not possible.;30511;30512;30513;ParameterControlError
GeminiFB.PP1.C.CLM.DataValueMonitoringSystem;Monitored data value 'DI Water Center - Flow Flow (l/min)' is out of set limits. Process for currently loaded substrate(s) will be finished.;30514;30515;30516;ParameterControlError
GeminiFB.PP1.C.CLM.DataValueMonitoringSystem;Monitored data value 'Chemistry1 - Flow Flow (l/min)' is out of set limits. Immediate process abort is necessary.;30517;30518;30519;ParameterControlError
GeminiFB.PP1.C.CLM.DataValueMonitoringSystem;Monitored data value 'DI Water Center - Flow Flow (ml/min)' is out of set limits. Operator decision is necessary before starting next process step.;30520;30521;30522;ParameterControlError
GeminiFB.PP1.C.CLM.DataValueMonitoringSystem;Monitored data value 'DI Water Center - Flow Flow (ml/min)' is out of set limits. Process for currently loaded substrate(s) will be finished.;30523;30524;30525;ParameterControlError
GeminiFB.PP1.C.CLM.DataValueMonitoringSystem;Monitored data value 'SpinnerChuck Current Axis Velocity' is out of set limits. Immediate operator decision is necessary.;30526;30527;30528;ParameterControlError
GeminiFB.PP1.C.CLM.DataValueMonitoringSystem;Monitored data value 'SpinnerChuck Commanded Axis Velocity' is out of set limits. Load of substrates onto module is not possible.;30529;30530;30531;ParameterControlError
GeminiFB.PP1.C.CLM.DataValueMonitoringSystem;Monitored data value 'DI Water Center - Flow Flow (ml/min)' is out of set limits. Immediate process abort is necessary.;30532;30533;30534;ParameterControlError
GeminiFB.PP1.C.CLM.DataValueMonitoringSystem;Monitored data value 'DI Water BSR - Flow Flow (ml/min)' is out of set limits. Operator decision is necessary before unloading.;30535;30536;30537;ParameterControlWarning
GeminiFB.PP1.C.CLM.DataValueMonitoringSystem;Monitored data value 'ExhaustSystem ExhaustFlow' is out of set limits. Process for currently loaded substrate(s) will be finished.;30538;30539;30540;ParameterControlError
GeminiFB.PP1.C.CLM.DataValueMonitoringSystem;Monitored data value 'MegasonicAreaTransducer Temperature0' is out of set limits. Operator decision is necessary before unloading.;30541;30542;30543;ParameterControlWarning
GeminiFB.PP1.C.CLM.DataValueMonitoringSystem;Monitored data value 'DI Water SA - Flow Flow (ml/min)' is out of set limits. Immediate process abort is necessary.;30544;30545;30546;ParameterControlError
GeminiFB.PP1.C.CLM.DataValueMonitoringSystem;Monitored data value 'SpinnerChuck Commanded Axis Velocity' is out of set limits. Process for currently loaded substrate(s) will be finished.;30547;30548;30549;ParameterControlError
GeminiFB.PP1.C.CLM.DataValueMonitoringSystem;Monitored data value 'DI Water BSR - Flow Flow (l/min)' is out of set limits. Load of substrates onto module is not possible.;30550;30551;30552;ParameterControlError
GeminiFB.PP1.C.CLM.DataValueMonitoringSystem;Monitored data value 'MegasonicAreaTransducer Voltage' is out of set limits. Load of substrates onto module is not possible.;30553;30554;30555;ParameterControlError
GeminiFB.PP1.C.CLM.DataValueMonitoringSystem;Monitored data value 'DI Water BSR - Flow Flow (ml/min)' is out of set limits. Process for currently loaded substrate(s) will be finished.;30556;30557;30558;ParameterControlError
GeminiFB.PP1.C.CLM.DataValueMonitoringSystem;Monitored data value 'SpinnerChuck Commanded Axis Velocity' is out of set limits. Immediate operator decision is necessary.;30559;30560;30561;ParameterControlError
GeminiFB.PP1.C.CLM.DataValueMonitoringSystem;Monitored data value 'SpinnerChuck VacuumValue' is out of set limits. Operator decision is necessary before starting next process step.;30562;30563;30564;ParameterControlError
GeminiFB.PP1.C.CLM.DataValueMonitoringSystem;Monitored data value 'MegasonicAreaTransducer Temperature1' is out of set limits. Immediate operator decision is necessary.;30565;30566;30567;ParameterControlError
GeminiFB.PP1.C.CLM.DataValueMonitoringSystem;Monitored data value 'MegasonicAreaTransducer Degree' is out of set limits. Process for currently loaded substrate(s) will be finished.;30568;30569;30570;ParameterControlError
GeminiFB.PP1.C.CLM.DataValueMonitoringSystem;Monitored data value 'DI Water BSR - Flow Flow (l/min)' is out of set limits. Immediate process abort is necessary.;30571;30572;30573;ParameterControlError
GeminiFB.PP1.C.CLM.DataValueMonitoringSystem;Monitored data value 'DI Water BSR - Flow Flow (l/min)' is out of set limits. Operator decision is necessary before unloading.;30574;30575;30576;ParameterControlWarning
GeminiFB.PP1.C.CLM.DataValueMonitoringSystem;Monitored data value 'DI Water SA - Flow Flow (l/min)' is out of set limits. Process start is not possible.;30577;30578;30579;ParameterControlError
GeminiFB.PP1.C.CLM.DataValueMonitoringSystem;Monitored data value 'DI Water Center - Flow Flow (ml/min)' is out of set limits. Immediate operator decision is necessary.;30580;30581;30582;ParameterControlError
GeminiFB.PP1.C.CLM.DataValueMonitoringSystem;Monitored data value 'MegasonicAreaTransducer Temperature2' is out of set limits. Immediate process abort is necessary.;30583;30584;30585;ParameterControlError
GeminiFB.PP1.C.CLM.DataValueMonitoringSystem;Monitored data value 'MegasonicAreaTransducer Voltage' is out of set limits. Process start is not possible.;30586;30587;30588;ParameterControlError
GeminiFB.PP1.C.CLM.DataValueMonitoringSystem;Monitored data value 'DI Water SA - Flow Flow (ml/min)' is out of set limits. Process start is not possible.;30589;30590;30591;ParameterControlError
GeminiFB.PP1.C.CLM.DataValueMonitoringSystem;Monitored data value 'MegasonicAreaTransducer Degree' is out of set limits. Process start is not possible.;30592;30593;30594;ParameterControlError
GeminiFB.PP1.C.CLM.DataValueMonitoringSystem;Monitored data value 'Chemistry1 - Flow Flow (l/min)' is out of set limits. Immediate operator decision is necessary.;30595;30596;30597;ParameterControlError
GeminiFB.PP1.C.CLM.DataValueMonitoringSystem;Monitored data value 'SpinnerChuck Commanded Axis Velocity' is out of set limits. Immediate process abort is necessary.;30598;30599;30600;ParameterControlError
GeminiFB.PP1.C.CLM.DataValueMonitoringSystem;Monitored data value 'MegasonicAreaTransducer ReflectedPower' is out of set limits. Operator decision is necessary before starting next process step.;30601;30602;30603;ParameterControlError
GeminiFB.PP1.C.CLM.DataValueMonitoringSystem;Monitored data value 'DI Water BSR - Flow Flow (ml/min)' is out of set limits. Immediate process abort is necessary.;30604;30605;30606;ParameterControlError
GeminiFB.PP1.C.CLM.DataValueMonitoringSystem;Monitored data value 'ExhaustSystem ExhaustFlow' is out of set limits. Operator decision is necessary before unloading.;30607;30608;30609;ParameterControlWarning
GeminiFB.PP1.C.CLM.DataValueMonitoringSystem;Monitored data value 'ExhaustSystem ExhaustFlow' is out of set limits. Process start is not possible.;30610;30611;30612;ParameterControlError
GeminiFB.PP1.C.CLM.DataValueMonitoringSystem;Monitored data value 'MegasonicAreaTransducer Temperature2' is out of set limits. Process for currently loaded substrate(s) will be finished.;30613;30614;30615;ParameterControlError
GeminiFB.PP1.C.CLM.DataValueMonitoringSystem;Monitored data value 'MegasonicAreaTransducer ReflectedPower' is out of set limits. Process for currently loaded substrate(s) will be finished.;30616;30617;30618;ParameterControlError
GeminiFB.PP1.C.CLM.DataValueMonitoringSystem;Monitored data value 'DI Water SA - Flow Flow (l/min)' is out of set limits. Process for currently loaded substrate(s) will be finished.;30619;30620;30621;ParameterControlError
GeminiFB.PP1.C.CLM.DataValueMonitoringSystem;Monitored data value 'MegasonicAreaTransducer Degree' is out of set limits. Immediate operator decision is necessary.;30622;30623;30624;ParameterControlError
GeminiFB.PP1.C.CLM.DataValueMonitoringSystem;Monitored data value 'MegasonicAreaTransducer Rho' is out of set limits. Process for currently loaded substrate(s) will be finished.;30625;30626;30627;ParameterControlError
GeminiFB.PP1.C.CLM.DataValueMonitoringSystem;Monitored data value 'Chemistry2 - Flow Flow (ml/min)' is out of set limits. Immediate operator decision is necessary.;30628;30629;30630;ParameterControlError
GeminiFB.PP1.C.CLM.DataValueMonitoringSystem;Monitored data value 'MegasonicAreaTransducer Current' is out of set limits. Immediate process abort is necessary.;30631;30632;30633;ParameterControlError
GeminiFB.PP1.C.CLM.DataValueMonitoringSystem;Monitored data value 'MegasonicAreaTransducer Temperature3' is out of set limits. Process for currently loaded substrate(s) will be finished.;30634;30635;30636;ParameterControlError
GeminiFB.PP1.C.CLM.DispenseArm;Z-Position is too small;30901;30902;30903;IrrecoverableError
GeminiFB.PP1.C.CLM.DispenseArm;Move to center canceled;30904;30905;30906;EquipmentStatusWarning
GeminiFB.PP1.C.CLM.DispenseArm;Motion Cancelled;30907;30908;30909;EquipmentSafety
GeminiFB.PP1.C.CLM.DispenseArm;Move to edge canceled;30910;30911;30912;EquipmentStatusWarning
GeminiFB.PP1.C.CLM.DispenseArm;Z-Position is too big;30913;30914;30915;IrrecoverableError
GeminiFB.PP1.C.CLM.DispenseArm;Failed to home Z-Axis.;30916;30917;30918;EquipmentSafety
GeminiFB.PP1.C.CLM.DispenseArm;Movement of T axis failed;30919;30920;30921;EquipmentSafety
GeminiFB.PP1.C.CLM.DispenseArm;Failed to move to parkposition.;30922;30923;30924;EquipmentSafety
GeminiFB.PP1.C.CLM.DispenseArm;Move to parkposition canceled;30925;30926;30927;EquipmentStatusWarning
GeminiFB.PP1.C.CLM.DispenseArm;Move to dummydispense position canceled;30928;30929;30930;EquipmentStatusWarning
GeminiFB.PP1.C.CLM.DispenseArm;Move to edge - Edge cannot be reached, check positions;30931;30932;30933;IrrecoverableError
GeminiFB.PP1.C.CLM.DispenseArm;Failed to move to dummy dispense position.;30934;30935;30936;EquipmentSafety
GeminiFB.PP1.C.CLM.DispenseArm;Movement of Z axis failed;30937;30938;30939;EquipmentSafety
GeminiFB.PP1.C.CLM.DispenseArm;Homing canceled;30940;30941;30942;EquipmentStatusWarning
GeminiFB.PP1.C.CLM.DispenseArm;Failed to home T-Axis.;30943;30944;30945;EquipmentSafety
GeminiFB.PP1.C.CLM.DispenseArm.DispenseLine01.Flowmeter;Wait Flowmeter Volume Timeout.;30946;30947;30948;EquipmentStatusWarning
GeminiFB.PP1.C.CLM.DispenseArm.DispenseLine01.Flowmeter.FlowmeterMonitor;Flow is undefined. Check flow meter and its settings.;30949;30950;30951;EquipmentStatusWarning
GeminiFB.PP1.C.CLM.DispenseArm.DispenseLine01.Flowmeter.FlowmeterMonitor;Flow too low (idle flow);30952;30953;30954;EquipmentStatusWarning
GeminiFB.PP1.C.CLM.DispenseArm.DispenseLine01.Flowmeter.FlowmeterMonitor;Flow too high (process flow);30955;30956;30957;EquipmentStatusWarning
GeminiFB.PP1.C.CLM.DispenseArm.DispenseLine01.Flowmeter.FlowmeterMonitor;Flow too high (idle flow);30958;30959;30960;EquipmentStatusWarning
GeminiFB.PP1.C.CLM.DispenseArm.DispenseLine01.Flowmeter.FlowmeterMonitor;Flow too low (process flow);30961;30962;30963;EquipmentStatusWarning
GeminiFB.PP1.C.CLM.DispenseArm.DispenseLine03.Flowmeter;Wait Flowmeter Volume Timeout.;30994;30995;30996;EquipmentStatusWarning
GeminiFB.PP1.C.CLM.DispenseArm.DispenseLine04.Flowmeter;Wait Flowmeter Volume Timeout.;30997;30998;30999;EquipmentStatusWarning
GeminiFB.PP1.C.CLM.DispenseArm.DispenseLine04.Flowmeter.FlowmeterMonitor;Flow is undefined. Check flow meter and its settings.;31000;31001;31002;EquipmentStatusWarning
GeminiFB.PP1.C.CLM.DispenseArm.DispenseLine04.Flowmeter.FlowmeterMonitor;Flow too low (idle flow);31003;31004;31005;EquipmentStatusWarning
GeminiFB.PP1.C.CLM.DispenseArm.DispenseLine04.Flowmeter.FlowmeterMonitor;Flow too high (process flow);31006;31007;31008;EquipmentStatusWarning
GeminiFB.PP1.C.CLM.DispenseArm.DispenseLine04.Flowmeter.FlowmeterMonitor;Flow too high (idle flow);31009;31010;31011;EquipmentStatusWarning
GeminiFB.PP1.C.CLM.DispenseArm.DispenseLine04.Flowmeter.FlowmeterMonitor;Flow too low (process flow);31012;31013;31014;EquipmentStatusWarning
GeminiFB.PP1.C.CLM.DispenseArm;It is not possible to use the selected Material with this arm.;31015;31016;31017;EquipmentSafety
GeminiFB.PP1.C.CLM.DispenseArm;Move to dummy dispense position - Position cannot be reached, check positions;31018;31019;31020;IrrecoverableError
GeminiFB.PP1.C.CLM.DispenseArm.MegasonicAreaTransducer;Temperature sensor 0 is in warning state.;31021;31022;31023;ParameterControlWarning
GeminiFB.PP1.C.CLM.DispenseArm.MegasonicAreaTransducer;Failed to disconnect from controller.;31024;31025;31026;ParameterControlError
GeminiFB.PP1.C.CLM.DispenseArm.MegasonicAreaTransducer;Communication problem: timeout waiting for response.;31027;31028;31029;ParameterControlError
GeminiFB.PP1.C.CLM.DispenseArm.MegasonicAreaTransducer;Error during waiting for recipe ended.;31030;31031;31032;ParameterControlError
GeminiFB.PP1.C.CLM.DispenseArm.MegasonicAreaTransducer;Temperature sensor 1 is in warning state.;31033;31034;31035;ParameterControlWarning
GeminiFB.PP1.C.CLM.DispenseArm.MegasonicAreaTransducer;Communication problem: response is not valid.;31036;31037;31038;ParameterControlError
GeminiFB.PP1.C.CLM.DispenseArm.MegasonicAreaTransducer;Temperature sensor 1 is in alarm state.;31039;31040;31041;ParameterControlError
GeminiFB.PP1.C.CLM.DispenseArm.MegasonicAreaTransducer;Error input indicates problem.;31042;31043;31044;ParameterControlError
GeminiFB.PP1.C.CLM.DispenseArm.MegasonicAreaTransducer;Reflected power is too high.;31045;31046;31047;ParameterControlError
GeminiFB.PP1.C.CLM.DispenseArm.MegasonicAreaTransducer;Temperature sensor 3 is in alarm state.;31048;31049;31050;ParameterControlError
GeminiFB.PP1.C.CLM.DispenseArm.MegasonicAreaTransducer;Temperature sensor 2 is in warning state.;31051;31052;31053;ParameterControlWarning
GeminiFB.PP1.C.CLM.DispenseArm.MegasonicAreaTransducer;Impedance has alarm level reached.;31054;31055;31056;ParameterControlError
GeminiFB.PP1.C.CLM.DispenseArm.MegasonicAreaTransducer;Temperature sensor 2 is in alarm state.;31057;31058;31059;ParameterControlError
GeminiFB.PP1.C.CLM.DispenseArm.MegasonicAreaTransducer;Failed to disable purge.;31060;31061;31062;ParameterControlError
GeminiFB.PP1.C.CLM.DispenseArm.MegasonicAreaTransducer;Temperature sensor 0 is in alarm state.;31063;31064;31065;ParameterControlError
GeminiFB.PP1.C.CLM.DispenseArm.MegasonicAreaTransducer;IO configuration error.;31066;31067;31068;ParameterControlError
GeminiFB.PP1.C.CLM.DispenseArm.MegasonicAreaTransducer;Reflected power is in warning state.;31069;31070;31071;ParameterControlWarning
GeminiFB.PP1.C.CLM.DispenseArm.MegasonicAreaTransducer;Reflected power is in alarm state.;31072;31073;31074;ParameterControlError
GeminiFB.PP1.C.CLM.DispenseArm.MegasonicAreaTransducer;Temperature sensor 3 is in warning state.;31075;31076;31077;ParameterControlWarning
GeminiFB.PP1.C.CLM.DispenseArm.MegasonicAreaTransducer;Impedance has warning level reached.;31078;31079;31080;ParameterControlWarning
GeminiFB.PP1.C.CLM.DispenseArm.MegasonicAreaTransducer;Communication problem.;31081;31082;31083;ParameterControlError
GeminiFB.PP1.C.CLM.DispenseArm.MegasonicAreaTransducer;Failed to enable purge.;31084;31085;31086;ParameterControlError
GeminiFB.PP1.C.CLM.DispenseArm.MegasonicAreaTransducer;Failed to connect to controller.;31087;31088;31089;ParameterControlError
GeminiFB.PP1.C.CLM.DispenseArm.ParkPosition.MegaSonicAreaTransducerDryingNozzles01;Start was canceled.;31090;31091;31092;EquipmentSafety
GeminiFB.PP1.C.CLM.DispenseArm.ParkPosition.MegaSonicAreaTransducerDryingNozzles02;Start was canceled.;31093;31094;31095;EquipmentSafety
GeminiFB.PP1.C.CLM.DispenseSystem01;It is not possible to dispense as Vacuumcover is not closed.;31096;31097;31098;EquipmentSafety
GeminiFB.PP1.C.CLM.DispenseSystem01;Periodic dispense cannot be performed - bubble detected in dispense line.;31099;31100;31101;EquipmentSafety
GeminiFB.PP1.C.CLM.DispenseSystem01;Please load substrate before dispensing.;31102;31103;31104;EquipmentSafety
GeminiFB.PP1.C.CLM.DispenseSystem01;Setted Dispense Parameter are invalid.;31105;31106;31107;EquipmentSafety
GeminiFB.PP1.C.CLM.DispenseSystem01;Periodic dispense cannot be performed - drainsystem is not OK.;31108;31109;31110;EquipmentSafety
GeminiFB.PP1.C.CLM.DispenseSystem01;Periodic dispense cannot be performed - supplysystem is not OK.;31111;31112;31113;EquipmentSafety
GeminiFB.PP1.C.CLM.DispenseSystem01;Periodic dispense cannot be performed - substrate is loaded.;31114;31115;31116;EquipmentSafety
GeminiFB.PP1.C.CLM.DispenseSystem01;Begin dispense canceled;31117;31118;31119;EquipmentSafety
GeminiFB.PP1.C.CLM.DispenseSystem03;It is not possible to dispense as Vacuumcover is not closed.;31150;31151;31152;EquipmentSafety
GeminiFB.PP1.C.CLM.DispenseSystem03;Periodic dispense cannot be performed - bubble detected in dispense line.;31153;31154;31155;EquipmentSafety
GeminiFB.PP1.C.CLM.DispenseSystem03;Please load substrate before dispensing.;31156;31157;31158;EquipmentSafety
GeminiFB.PP1.C.CLM.DispenseSystem03;Setted Dispense Parameter are invalid.;31159;31160;31161;EquipmentSafety
GeminiFB.PP1.C.CLM.DispenseSystem03;Periodic dispense cannot be performed - drainsystem is not OK.;31162;31163;31164;EquipmentSafety
GeminiFB.PP1.C.CLM.DispenseSystem03;Periodic dispense cannot be performed - supplysystem is not OK.;31165;31166;31167;EquipmentSafety
GeminiFB.PP1.C.CLM.DispenseSystem03;Periodic dispense cannot be performed - substrate is loaded.;31168;31169;31170;EquipmentSafety
GeminiFB.PP1.C.CLM.DispenseSystem03;Begin dispense canceled;31171;31172;31173;EquipmentSafety
GeminiFB.PP1.C.CLM.DispenseSystem03.PeriodicDispenseManager;Periodic dispense cannot be performed.;31174;31175;31176;EquipmentSafety
GeminiFB.PP1.C.CLM.DispenseSystem04;It is not possible to dispense as Vacuumcover is not closed.;31177;31178;31179;EquipmentSafety
GeminiFB.PP1.C.CLM.DispenseSystem04;Periodic dispense cannot be performed - bubble detected in dispense line.;31180;31181;31182;EquipmentSafety
GeminiFB.PP1.C.CLM.DispenseSystem04;Please load substrate before dispensing.;31183;31184;31185;EquipmentSafety
GeminiFB.PP1.C.CLM.DispenseSystem04;Setted Dispense Parameter are invalid.;31186;31187;31188;EquipmentSafety
GeminiFB.PP1.C.CLM.DispenseSystem04;Periodic dispense cannot be performed - drainsystem is not OK.;31189;31190;31191;EquipmentSafety
GeminiFB.PP1.C.CLM.DispenseSystem04;Periodic dispense cannot be performed - supplysystem is not OK.;31192;31193;31194;EquipmentSafety
GeminiFB.PP1.C.CLM.DispenseSystem04;Periodic dispense cannot be performed - substrate is loaded.;31195;31196;31197;EquipmentSafety
GeminiFB.PP1.C.CLM.DispenseSystem04;Begin dispense canceled;31198;31199;31200;EquipmentSafety
GeminiFB.PP1.C.CLM.DispenseSystem04.PeriodicDispenseManager;Periodic dispense cannot be performed.;31201;31202;31203;EquipmentSafety
GeminiFB.PP1.C.CLM.DispenseSystem05;It is not possible to dispense as Vacuumcover is not closed.;31204;31205;31206;EquipmentSafety
GeminiFB.PP1.C.CLM.DispenseSystem05;Periodic dispense cannot be performed - bubble detected in dispense line.;31207;31208;31209;EquipmentSafety
GeminiFB.PP1.C.CLM.DispenseSystem05;Please load substrate before dispensing.;31210;31211;31212;EquipmentSafety
GeminiFB.PP1.C.CLM.DispenseSystem05;Setted Dispense Parameter are invalid.;31213;31214;31215;EquipmentSafety
GeminiFB.PP1.C.CLM.DispenseSystem05;Periodic dispense cannot be performed - drainsystem is not OK.;31216;31217;31218;EquipmentSafety
GeminiFB.PP1.C.CLM.DispenseSystem05;Periodic dispense cannot be performed - supplysystem is not OK.;31219;31220;31221;EquipmentSafety
GeminiFB.PP1.C.CLM.DispenseSystem05;Periodic dispense cannot be performed - substrate is loaded.;31222;31223;31224;EquipmentSafety
GeminiFB.PP1.C.CLM.DispenseSystem05;Begin dispense canceled;31225;31226;31227;EquipmentSafety
GeminiFB.PP1.C.CLM.DispenseSystem05.PeriodicDispenseManager;Periodic dispense cannot be performed.;31228;31229;31230;EquipmentSafety
GeminiFB.PP1.C.CLM.DispenseSystem06;It is not possible to dispense as Vacuumcover is not closed.;31231;31232;31233;EquipmentSafety
GeminiFB.PP1.C.CLM.DispenseSystem06;Periodic dispense cannot be performed - bubble detected in dispense line.;31234;31235;31236;EquipmentSafety
GeminiFB.PP1.C.CLM.DispenseSystem06;Please load substrate before dispensing.;31237;31238;31239;EquipmentSafety
GeminiFB.PP1.C.CLM.DispenseSystem06;Setted Dispense Parameter are invalid.;31240;31241;31242;EquipmentSafety
GeminiFB.PP1.C.CLM.DispenseSystem06;Begin dispense canceled;31243;31244;31245;EquipmentSafety
GeminiFB.PP1.C.CLM.DispenseSystem07;It is not possible to dispense as Vacuumcover is not closed.;31246;31247;31248;EquipmentSafety
GeminiFB.PP1.C.CLM.DispenseSystem07;Periodic dispense cannot be performed - bubble detected in dispense line.;31249;31250;31251;EquipmentSafety
GeminiFB.PP1.C.CLM.DispenseSystem07;Please load substrate before dispensing.;31252;31253;31254;EquipmentSafety
GeminiFB.PP1.C.CLM.DispenseSystem07;Setted Dispense Parameter are invalid.;31255;31256;31257;EquipmentSafety
GeminiFB.PP1.C.CLM.DispenseSystem07;Begin dispense canceled;31258;31259;31260;EquipmentSafety
GeminiFB.PP1.C.CLM.DispenseSystem08;It is not possible to dispense as Vacuumcover is not closed.;31261;31262;31263;EquipmentSafety
GeminiFB.PP1.C.CLM.DispenseSystem08;Periodic dispense cannot be performed - bubble detected in dispense line.;31264;31265;31266;EquipmentSafety
GeminiFB.PP1.C.CLM.DispenseSystem08;Please load substrate before dispensing.;31267;31268;31269;EquipmentSafety
GeminiFB.PP1.C.CLM.DispenseSystem08;Setted Dispense Parameter are invalid.;31270;31271;31272;EquipmentSafety
GeminiFB.PP1.C.CLM.DispenseSystem08;Begin dispense canceled;31273;31274;31275;EquipmentSafety
GeminiFB.PP1.C.CLM.DrainSystem;Usage of drain is canceled.;31291;31292;31293;EquipmentStatusWarning
GeminiFB.PP1.C.CLM.DrainSystem;Drain system alarm;31294;31295;31296;EquipmentStatusWarning
GeminiFB.PP1.C.CLM.DrainSystem;Prepare for material canceled.;31297;31298;31299;EquipmentStatusWarning
GeminiFB.PP1.C.CLM.ExhaustSystem;Exhaustflow alarm;31300;31301;31302;EquipmentStatusWarning
GeminiFB.PP1.C.CLM.LoadingDoor;Closing door canceled.;31303;31304;31305;EquipmentStatusWarning
GeminiFB.PP1.C.CLM.LoadingDoor;Opening door canceled.;31306;31307;31308;EquipmentStatusWarning
GeminiFB.PP1.C.CLM.LoadingDoor;Timeout while waiting for door to open.;31309;31310;31311;EquipmentStatusWarning
GeminiFB.PP1.C.CLM.LoadingDoor;IO Configuration Error;31312;31313;31314;EquipmentStatusWarning
GeminiFB.PP1.C.CLM.LoadingDoor;Timeout while waiting for door to close.;31315;31316;31317;EquipmentStatusWarning
GeminiFB.PP1.C.CLM.MaintenanceCleaningProcess;An unexpected failure occurred. Please contact EVG TechSupport.;31318;31319;31320;IrrecoverableError
GeminiFB.PP1.C.CLM.MaterialInformation;No valid material specifications found.;31321;31322;31323;EquipmentStatusWarning
GeminiFB.PP1.C.CLM.MaterialInformation;No possible material specifications found due to material information and / or tooling profile configuration.;31324;31325;31326;EquipmentStatusWarning
GeminiFB.PP1.C.CLM.ProcessInterceptionSystem;One or more exception conditions are active that interrupts the next process step. Check alarm view for details.;31327;31328;31329;ParameterControlError
GeminiFB.PP1.C.CLM.ProcessInterceptionSystem;One or more exception conditions are active that prevents load to module. Check alarm view for details.;31330;31331;31332;ParameterControlError
GeminiFB.PP1.C.CLM.ProcessInterceptionSystem;One or more exception conditions are active that interrupts unload of substrate. Check alarm view for details.;31333;31334;31335;ParameterControlError
