SubSystem;Name;CEID;Description;Available VIDs
GeminiFB.PP1.BUF2;MachineOperation.InitializeModule.Start;217084;Event that is triggered when the operation starts. Operation=InitializeModule, Description=Initialization of module and all its subsystems to be ready for usage.;
GeminiFB.PP1.BUF2;MachineOperation.ShutDownModule.End;217085;Event that is triggered when the operation ends (independent of result). Operation=ShutDownModule, Description=Shutdown of module and all its subsystems. The module can no longer be used for processing.;217042
GeminiFB.PP1.BUF2;MachineOperation.ShutDownModule.Start;217086;Event that is triggered when the operation starts. Operation=ShutDownModule, Description=Shutdown of module and all its subsystems. The module can no longer be used for processing.;
GeminiFB.PP1.BUF2.Slot1;MachineOperation.InitializeModule.End;217087;Event that is triggered when the operation ends (independent of result). Operation=InitializeModule, Description=Initialization of module and all its subsystems to be ready for usage.;217043
GeminiFB.PP1.BUF2.Slot1;MachineOperation.InitializeModule.Start;217088;Event that is triggered when the operation starts. Operation=InitializeModule, Description=Initialization of module and all its subsystems to be ready for usage.;
GeminiFB.PP1.BUF2.Slot1;MachineOperation.ShutDownModule.End;217089;Event that is triggered when the operation ends (independent of result). Operation=ShutDownModule, Description=Shutdown of module and all its subsystems. The module can no longer be used for processing.;217044
GeminiFB.PP1.BUF2.Slot1;MachineOperation.ShutDownModule.Start;217090;Event that is triggered when the operation starts. Operation=ShutDownModule, Description=Shutdown of module and all its subsystems. The module can no longer be used for processing.;
GeminiFB.PP1.BUF2.Slot2;MachineOperation.InitializeModule.End;217091;Event that is triggered when the operation ends (independent of result). Operation=InitializeModule, Description=Initialization of module and all its subsystems to be ready for usage.;217045
GeminiFB.PP1.BUF2.Slot2;MachineOperation.InitializeModule.Start;217092;Event that is triggered when the operation starts. Operation=InitializeModule, Description=Initialization of module and all its subsystems to be ready for usage.;
GeminiFB.PP1.BUF2.Slot2;MachineOperation.ShutDownModule.End;217093;Event that is triggered when the operation ends (independent of result). Operation=ShutDownModule, Description=Shutdown of module and all its subsystems. The module can no longer be used for processing.;217046
GeminiFB.PP1.BUF2.Slot2;MachineOperation.ShutDownModule.Start;217094;Event that is triggered when the operation starts. Operation=ShutDownModule, Description=Shutdown of module and all its subsystems. The module can no longer be used for processing.;
GeminiFB.PP1.BUF2.Slot3;MachineOperation.InitializeModule.End;217095;Event that is triggered when the operation ends (independent of result). Operation=InitializeModule, Description=Initialization of module and all its subsystems to be ready for usage.;217047
GeminiFB.PP1.BUF2.Slot3;MachineOperation.InitializeModule.Start;217096;Event that is triggered when the operation starts. Operation=InitializeModule, Description=Initialization of module and all its subsystems to be ready for usage.;
GeminiFB.PP1.BUF2.Slot3;MachineOperation.ShutDownModule.End;217097;Event that is triggered when the operation ends (independent of result). Operation=ShutDownModule, Description=Shutdown of module and all its subsystems. The module can no longer be used for processing.;217048
GeminiFB.PP1.BUF2.Slot3;MachineOperation.ShutDownModule.Start;217098;Event that is triggered when the operation starts. Operation=ShutDownModule, Description=Shutdown of module and all its subsystems. The module can no longer be used for processing.;
GeminiFB.PP1.BUF2.Slot4;MachineOperation.InitializeModule.End;217099;Event that is triggered when the operation ends (independent of result). Operation=InitializeModule, Description=Initialization of module and all its subsystems to be ready for usage.;217049
GeminiFB.PP1.BUF2.Slot4;MachineOperation.InitializeModule.Start;217100;Event that is triggered when the operation starts. Operation=InitializeModule, Description=Initialization of module and all its subsystems to be ready for usage.;
GeminiFB.PP1.BUF2.Slot4;MachineOperation.ShutDownModule.End;217101;Event that is triggered when the operation ends (independent of result). Operation=ShutDownModule, Description=Shutdown of module and all its subsystems. The module can no longer be used for processing.;217050
GeminiFB.PP1.BUF2.Slot4;MachineOperation.ShutDownModule.Start;217102;Event that is triggered when the operation starts. Operation=ShutDownModule, Description=Shutdown of module and all its subsystems. The module can no longer be used for processing.;
GeminiFB.PP1.D.LTM.Activation Process;ActivationProcess.End;218001;Is triggered on end.;218008, 218004, 218076, 218081, 218080, 218082, 218084, 218085, 218083, 218089, 218088, 218087, 218091, 218090, 218086, 218015, 218014, 218013, 218012, 218011, 218010, 218021, 218020, 218019, 218018, 218017, 218016, 218024, 218023, 218022, 218007, 218006, 218005, 218027, 218026, 218025, 218308, 218307, 218306, 218311, 218310, 218309, 218314, 218313, 218312, 218317, 218316, 218315, 218320, 218319, 218318, 218296, 218295, 218294, 218299, 218298, 218297, 218302, 218301, 218300, 218305, 218304, 218303, 218069, 218068, 218067, 218066, 218065, 218064, 218072, 218071, 218070, 218063, 218062, 218061, 218057, 218056, 218055, 218075, 218074, 218073, 218054, 218053, 218052, 218060, 218059, 218058, 218045, 218044, 218043, 218042, 218041, 218040, 218048, 218047, 218046, 218039, 218038, 218037, 218033, 218032, 218031, 218051, 218050, 218049, 218030, 218029, 218028, 218036, 218035, 218034, 218341, 218340, 218339, 218009
GeminiFB.PP1.D.LTM.Activation Process;ActivationProcess.Start;218002;Is triggered on start.;218004, 218076, 218081, 218080, 218082, 218084, 218085, 218083
GeminiFB.PP1.D.LTM;ModuleServiceStateChanged;218003;Is triggered when the service state changed.;218139, 218202
GeminiFB.PP1.D.LTM;ModuleServiceSubstateChanged;218004;Is triggered when the service substate changed.;218140, 218203
GeminiFB.PP1.D.LTM.Plasma Activation.OESRemoteRecorder;OESRecordingStarted;218005;OES raw file data recording started.;
GeminiFB.PP1.D.LTM.Plasma Activation.OESRemoteRecorder;OESRecordingStopped;218006;OES raw file data recording stopped.;
GeminiFB.PP1.D.LTM;ProcessInfo.ProcessFinished;218007;Triggered when a process has finished;218213, 218209, 218218, 218220, 218222, 218210, 218219, 218221, 218223, 218217, 218208, 218211
GeminiFB.PP1.D.LTM;ProcessInfo.ProcessStarted;218008;Triggered when a process is started;218213, 218209, 218218, 218220, 218222, 218210, 218219, 218221, 218223, 218217, 218208
GeminiFB.PP1.D.LTM;ProcessInfo.ProcessStateChanged;218009;Triggered when the process state has changed;218212
GeminiFB.PP1.D.LTM;ProcessInfo.RecipeStepFinished;218010;Triggered when a recipe step has finished;218216, 218215
GeminiFB.PP1.D.LTM;ProcessInfo.RecipeStepStarted;218011;Triggered when a recipe step is started;218216, 218215
GeminiFB.PP1.D.LTM;MachineOperation.InitializeModule.End;218921;Event that is triggered when the operation ends (independent of result). Operation=InitializeModule, Description=Initialization of module and all its subsystems to be ready for usage.;218343
GeminiFB.PP1.D.LTM;MachineOperation.InitializeModule.Start;218922;Event that is triggered when the operation starts. Operation=InitializeModule, Description=Initialization of module and all its subsystems to be ready for usage.;
GeminiFB.PP1.D.LTM;MachineOperation.ShutDownModule.End;218923;Event that is triggered when the operation ends (independent of result). Operation=ShutDownModule, Description=Shutdown of module and all its subsystems. The module can no longer be used for processing.;218344
GeminiFB.PP1.D.LTM;MachineOperation.ShutDownModule.Start;218924;Event that is triggered when the operation starts. Operation=ShutDownModule, Description=Shutdown of module and all its subsystems. The module can no longer be used for processing.;
GeminiFB.PP1.PRE1;ModuleServiceStateChanged;220001;Is triggered when the service state changed.;220006, 220017
GeminiFB.PP1.PRE1;ModuleServiceSubstateChanged;220002;Is triggered when the service substate changed.;220007, 220018
GeminiFB.PP1.PRE1.Prealignment Process;Process.End;220003;Is triggered on end.;220009, 220008, 220010, 220012, 220011, 220013, 220015, 220016, 220014
GeminiFB.PP1.PRE1.Prealignment Process;Process.Start;220004;Is triggered on start.;220008, 220010, 220012, 220011, 220013, 220015, 220016, 220014
GeminiFB.PP1.PRE1;MachineOperation.InitializeModule.End;220161;Event that is triggered when the operation ends (independent of result). Operation=InitializeModule, Description=Initialization of module and all its subsystems to be ready for usage.;220024
GeminiFB.PP1.PRE1;MachineOperation.InitializeModule.Start;220162;Event that is triggered when the operation starts. Operation=InitializeModule, Description=Initialization of module and all its subsystems to be ready for usage.;
GeminiFB.PP1.PRE1;MachineOperation.ShutDownModule.End;220163;Event that is triggered when the operation ends (independent of result). Operation=ShutDownModule, Description=Shutdown of module and all its subsystems. The module can no longer be used for processing.;220025
GeminiFB.PP1.PRE1;MachineOperation.ShutDownModule.Start;220164;Event that is triggered when the operation starts. Operation=ShutDownModule, Description=Shutdown of module and all its subsystems. The module can no longer be used for processing.;
GeminiFB.PP1.PRE2;ModuleServiceStateChanged;221001;Is triggered when the service state changed.;221006, 221017
GeminiFB.PP1.PRE2;ModuleServiceSubstateChanged;221002;Is triggered when the service substate changed.;221007, 221018
GeminiFB.PP1.PRE2.Prealignment Process;Process.End;221003;Is triggered on end.;221009, 221008, 221010, 221012, 221011, 221013, 221015, 221016, 221014
GeminiFB.PP1.PRE2.Prealignment Process;Process.Start;221004;Is triggered on start.;221008, 221010, 221012, 221011, 221013, 221015, 221016, 221014
GeminiFB.PP1.PRE2;MachineOperation.InitializeModule.End;221161;Event that is triggered when the operation ends (independent of result). Operation=InitializeModule, Description=Initialization of module and all its subsystems to be ready for usage.;221024
GeminiFB.PP1.PRE2;MachineOperation.InitializeModule.Start;221162;Event that is triggered when the operation starts. Operation=InitializeModule, Description=Initialization of module and all its subsystems to be ready for usage.;
GeminiFB.PP1.PRE2;MachineOperation.ShutDownModule.End;221163;Event that is triggered when the operation ends (independent of result). Operation=ShutDownModule, Description=Shutdown of module and all its subsystems. The module can no longer be used for processing.;221025
GeminiFB.PP1.PRE2;MachineOperation.ShutDownModule.Start;221164;Event that is triggered when the operation starts. Operation=ShutDownModule, Description=Shutdown of module and all its subsystems. The module can no longer be used for processing.;
GeminiFB.PP1.ROB;ModuleServiceStateChanged;222001;Is triggered when the service state changed.;222033, 222035
GeminiFB.PP1.ROB;ModuleServiceSubstateChanged;222002;Is triggered when the service substate changed.;222034, 222036
GeminiFB.PP1.ROB;MachineOperation.InitializeModule.End;222198;Event that is triggered when the operation ends (independent of result). Operation=InitializeModule, Description=Initialization of module and all its subsystems to be ready for usage.;222112
GeminiFB.PP1.ROB;MachineOperation.InitializeModule.Start;222199;Event that is triggered when the operation starts. Operation=InitializeModule, Description=Initialization of module and all its subsystems to be ready for usage.;
GeminiFB.PP1.ROB;MachineOperation.ShutDownModule.End;222200;Event that is triggered when the operation ends (independent of result). Operation=ShutDownModule, Description=Shutdown of module and all its subsystems. The module can no longer be used for processing.;222113
GeminiFB.PP1.ROB;MachineOperation.ShutDownModule.Start;222375;Event that is triggered when the operation starts. Operation=ShutDownModule, Description=Shutdown of module and all its subsystems. The module can no longer be used for processing.;
GeminiFB.PP2.BUF1;ModuleServiceStateChanged;223001;Is triggered when the service state changed.;223001, 223003
GeminiFB.PP2.BUF1;ModuleServiceSubstateChanged;223002;Is triggered when the service substate changed.;223002, 223004
GeminiFB.PP2.BUF1.Slot1;ModuleServiceStateChanged;223003;Is triggered when the service state changed.;223005, 223008
GeminiFB.PP2.BUF1.Slot1;ModuleServiceSubstateChanged;223004;Is triggered when the service substate changed.;223006, 223009
GeminiFB.PP2.BUF1.Slot2;ModuleServiceStateChanged;223005;Is triggered when the service state changed.;223014, 223017
GeminiFB.PP2.BUF1.Slot2;ModuleServiceSubstateChanged;223006;Is triggered when the service substate changed.;223015, 223018
GeminiFB.PP2.BUF1.Slot3;ModuleServiceStateChanged;223007;Is triggered when the service state changed.;223023, 223026
GeminiFB.PP2.BUF1.Slot3;ModuleServiceSubstateChanged;223008;Is triggered when the service substate changed.;223024, 223027
GeminiFB.PP2.BUF1.Slot4;ModuleServiceStateChanged;223009;Is triggered when the service state changed.;223032, 223035
GeminiFB.PP2.BUF1.Slot4;ModuleServiceSubstateChanged;223010;Is triggered when the service substate changed.;223033, 223036
GeminiFB.PP2.BUF1;MachineOperation.InitializeModule.End;223083;Event that is triggered when the operation ends (independent of result). Operation=InitializeModule, Description=Initialization of module and all its subsystems to be ready for usage.;223041
GeminiFB.PP2.BUF1;MachineOperation.InitializeModule.Start;223084;Event that is triggered when the operation starts. Operation=InitializeModule, Description=Initialization of module and all its subsystems to be ready for usage.;
GeminiFB.PP2.BUF1;MachineOperation.ShutDownModule.End;223085;Event that is triggered when the operation ends (independent of result). Operation=ShutDownModule, Description=Shutdown of module and all its subsystems. The module can no longer be used for processing.;223042
GeminiFB.PP2.BUF1;MachineOperation.ShutDownModule.Start;223086;Event that is triggered when the operation starts. Operation=ShutDownModule, Description=Shutdown of module and all its subsystems. The module can no longer be used for processing.;
GeminiFB.PP2.BUF1.Slot1;MachineOperation.InitializeModule.End;223087;Event that is triggered when the operation ends (independent of result). Operation=InitializeModule, Description=Initialization of module and all its subsystems to be ready for usage.;223043
GeminiFB.PP2.BUF1.Slot1;MachineOperation.InitializeModule.Start;223088;Event that is triggered when the operation starts. Operation=InitializeModule, Description=Initialization of module and all its subsystems to be ready for usage.;
GeminiFB.PP2.BUF1.Slot1;MachineOperation.ShutDownModule.End;223089;Event that is triggered when the operation ends (independent of result). Operation=ShutDownModule, Description=Shutdown of module and all its subsystems. The module can no longer be used for processing.;223044
GeminiFB.PP2.BUF1.Slot1;MachineOperation.ShutDownModule.Start;223090;Event that is triggered when the operation starts. Operation=ShutDownModule, Description=Shutdown of module and all its subsystems. The module can no longer be used for processing.;
GeminiFB.PP2.BUF1.Slot2;MachineOperation.InitializeModule.End;223091;Event that is triggered when the operation ends (independent of result). Operation=InitializeModule, Description=Initialization of module and all its subsystems to be ready for usage.;223045
GeminiFB.PP2.BUF1.Slot2;MachineOperation.InitializeModule.Start;223092;Event that is triggered when the operation starts. Operation=InitializeModule, Description=Initialization of module and all its subsystems to be ready for usage.;
GeminiFB.PP2.BUF1.Slot2;MachineOperation.ShutDownModule.End;223093;Event that is triggered when the operation ends (independent of result). Operation=ShutDownModule, Description=Shutdown of module and all its subsystems. The module can no longer be used for processing.;223046
GeminiFB.PP2.BUF1.Slot2;MachineOperation.ShutDownModule.Start;223094;Event that is triggered when the operation starts. Operation=ShutDownModule, Description=Shutdown of module and all its subsystems. The module can no longer be used for processing.;
GeminiFB.PP2.BUF1.Slot3;MachineOperation.InitializeModule.End;223095;Event that is triggered when the operation ends (independent of result). Operation=InitializeModule, Description=Initialization of module and all its subsystems to be ready for usage.;223047
GeminiFB.PP2.BUF1.Slot3;MachineOperation.InitializeModule.Start;223096;Event that is triggered when the operation starts. Operation=InitializeModule, Description=Initialization of module and all its subsystems to be ready for usage.;
GeminiFB.PP2.BUF1.Slot3;MachineOperation.ShutDownModule.End;223097;Event that is triggered when the operation ends (independent of result). Operation=ShutDownModule, Description=Shutdown of module and all its subsystems. The module can no longer be used for processing.;223048
GeminiFB.PP2.BUF1.Slot3;MachineOperation.ShutDownModule.Start;223098;Event that is triggered when the operation starts. Operation=ShutDownModule, Description=Shutdown of module and all its subsystems. The module can no longer be used for processing.;
GeminiFB.PP2.BUF1.Slot4;MachineOperation.InitializeModule.End;223099;Event that is triggered when the operation ends (independent of result). Operation=InitializeModule, Description=Initialization of module and all its subsystems to be ready for usage.;223049
GeminiFB.PP2.BUF1.Slot4;MachineOperation.InitializeModule.Start;223100;Event that is triggered when the operation starts. Operation=InitializeModule, Description=Initialization of module and all its subsystems to be ready for usage.;
GeminiFB.PP2.BUF1.Slot4;MachineOperation.ShutDownModule.End;223101;Event that is triggered when the operation ends (independent of result). Operation=ShutDownModule, Description=Shutdown of module and all its subsystems. The module can no longer be used for processing.;223050
GeminiFB.PP2.BUF1.Slot4;MachineOperation.ShutDownModule.Start;223102;Event that is triggered when the operation starts. Operation=ShutDownModule, Description=Shutdown of module and all its subsystems. The module can no longer be used for processing.;
GeminiFB.PP2.BUF2;ModuleServiceStateChanged;224001;Is triggered when the service state changed.;224001, 224003
GeminiFB.PP2.BUF2;ModuleServiceSubstateChanged;224002;Is triggered when the service substate changed.;224002, 224004
GeminiFB.PP2.BUF2.Slot1;ModuleServiceStateChanged;224003;Is triggered when the service state changed.;224005, 224008
GeminiFB.PP2.BUF2.Slot1;ModuleServiceSubstateChanged;224004;Is triggered when the service substate changed.;224006, 224009
GeminiFB.PP2.BUF2.Slot2;ModuleServiceStateChanged;224005;Is triggered when the service state changed.;224014, 224017
GeminiFB.PP2.BUF2.Slot2;ModuleServiceSubstateChanged;224006;Is triggered when the service substate changed.;224015, 224018
GeminiFB.PP2.BUF2.Slot3;ModuleServiceStateChanged;224007;Is triggered when the service state changed.;224023, 224026
GeminiFB.PP2.BUF2.Slot3;ModuleServiceSubstateChanged;224008;Is triggered when the service substate changed.;224024, 224027
GeminiFB.PP2.BUF2.Slot4;ModuleServiceStateChanged;224009;Is triggered when the service state changed.;224032, 224035
GeminiFB.PP2.BUF2.Slot4;ModuleServiceSubstateChanged;224010;Is triggered when the service substate changed.;224033, 224036
GeminiFB.PP2.BUF2;MachineOperation.InitializeModule.End;224083;Event that is triggered when the operation ends (independent of result). Operation=InitializeModule, Description=Initialization of module and all its subsystems to be ready for usage.;224041
GeminiFB.PP2.BUF2;MachineOperation.InitializeModule.Start;224084;Event that is triggered when the operation starts. Operation=InitializeModule, Description=Initialization of module and all its subsystems to be ready for usage.;
GeminiFB.PP2.BUF2;MachineOperation.ShutDownModule.End;224085;Event that is triggered when the operation ends (independent of result). Operation=ShutDownModule, Description=Shutdown of module and all its subsystems. The module can no longer be used for processing.;224042
GeminiFB.PP2.BUF2;MachineOperation.ShutDownModule.Start;224086;Event that is triggered when the operation starts. Operation=ShutDownModule, Description=Shutdown of module and all its subsystems. The module can no longer be used for processing.;
GeminiFB.PP2.BUF2.Slot1;MachineOperation.InitializeModule.End;224087;Event that is triggered when the operation ends (independent of result). Operation=InitializeModule, Description=Initialization of module and all its subsystems to be ready for usage.;224043
GeminiFB.PP2.BUF2.Slot1;MachineOperation.InitializeModule.Start;224088;Event that is triggered when the operation starts. Operation=InitializeModule, Description=Initialization of module and all its subsystems to be ready for usage.;
GeminiFB.PP2.BUF2.Slot1;MachineOperation.ShutDownModule.End;224089;Event that is triggered when the operation ends (independent of result). Operation=ShutDownModule, Description=Shutdown of module and all its subsystems. The module can no longer be used for processing.;224044
GeminiFB.PP2.BUF2.Slot1;MachineOperation.ShutDownModule.Start;224090;Event that is triggered when the operation starts. Operation=ShutDownModule, Description=Shutdown of module and all its subsystems. The module can no longer be used for processing.;
GeminiFB.PP2.BUF2.Slot2;MachineOperation.InitializeModule.End;224091;Event that is triggered when the operation ends (independent of result). Operation=InitializeModule, Description=Initialization of module and all its subsystems to be ready for usage.;224045
GeminiFB.PP2.BUF2.Slot2;MachineOperation.InitializeModule.Start;224092;Event that is triggered when the operation starts. Operation=InitializeModule, Description=Initialization of module and all its subsystems to be ready for usage.;
GeminiFB.PP2.BUF2.Slot2;MachineOperation.ShutDownModule.End;224093;Event that is triggered when the operation ends (independent of result). Operation=ShutDownModule, Description=Shutdown of module and all its subsystems. The module can no longer be used for processing.;224046
GeminiFB.PP2.BUF2.Slot2;MachineOperation.ShutDownModule.Start;224094;Event that is triggered when the operation starts. Operation=ShutDownModule, Description=Shutdown of module and all its subsystems. The module can no longer be used for processing.;
GeminiFB.PP2.BUF2.Slot3;MachineOperation.InitializeModule.End;224095;Event that is triggered when the operation ends (independent of result). Operation=InitializeModule, Description=Initialization of module and all its subsystems to be ready for usage.;224047
GeminiFB.PP2.BUF2.Slot3;MachineOperation.InitializeModule.Start;224096;Event that is triggered when the operation starts. Operation=InitializeModule, Description=Initialization of module and all its subsystems to be ready for usage.;
GeminiFB.PP2.BUF2.Slot3;MachineOperation.ShutDownModule.End;224097;Event that is triggered when the operation ends (independent of result). Operation=ShutDownModule, Description=Shutdown of module and all its subsystems. The module can no longer be used for processing.;224048
GeminiFB.PP2.BUF2.Slot3;MachineOperation.ShutDownModule.Start;224098;Event that is triggered when the operation starts. Operation=ShutDownModule, Description=Shutdown of module and all its subsystems. The module can no longer be used for processing.;
GeminiFB.PP2.BUF2.Slot4;MachineOperation.InitializeModule.End;224099;Event that is triggered when the operation ends (independent of result). Operation=InitializeModule, Description=Initialization of module and all its subsystems to be ready for usage.;224049
GeminiFB.PP2.BUF2.Slot4;MachineOperation.InitializeModule.Start;224100;Event that is triggered when the operation starts. Operation=InitializeModule, Description=Initialization of module and all its subsystems to be ready for usage.;
GeminiFB.PP2.BUF2.Slot4;MachineOperation.ShutDownModule.End;224101;Event that is triggered when the operation ends (independent of result). Operation=ShutDownModule, Description=Shutdown of module and all its subsystems. The module can no longer be used for processing.;224050
GeminiFB.PP2.BUF2.Slot4;MachineOperation.ShutDownModule.Start;224102;Event that is triggered when the operation starts. Operation=ShutDownModule, Description=Shutdown of module and all its subsystems. The module can no longer be used for processing.;
GeminiFB.PP2.PRE1;ModuleServiceStateChanged;225001;Is triggered when the service state changed.;225006, 225017
GeminiFB.PP2.PRE1;ModuleServiceSubstateChanged;225002;Is triggered when the service substate changed.;225007, 225018
GeminiFB.PP2.PRE1.Prealignment Process;Process.End;225003;Is triggered on end.;225009, 225008, 225010, 225012, 225011, 225013, 225015, 225016, 225014
GeminiFB.PP2.PRE1.Prealignment Process;Process.Start;225004;Is triggered on start.;225008, 225010, 225012, 225011, 225013, 225015, 225016, 225014
GeminiFB.PP2.PRE1;MachineOperation.InitializeModule.End;225161;Event that is triggered when the operation ends (independent of result). Operation=InitializeModule, Description=Initialization of module and all its subsystems to be ready for usage.;225024
GeminiFB.PP2.PRE1;MachineOperation.InitializeModule.Start;225162;Event that is triggered when the operation starts. Operation=InitializeModule, Description=Initialization of module and all its subsystems to be ready for usage.;
GeminiFB.PP2.PRE1;MachineOperation.ShutDownModule.End;225163;Event that is triggered when the operation ends (independent of result). Operation=ShutDownModule, Description=Shutdown of module and all its subsystems. The module can no longer be used for processing.;225025
GeminiFB.PP2.PRE1;MachineOperation.ShutDownModule.Start;225164;Event that is triggered when the operation starts. Operation=ShutDownModule, Description=Shutdown of module and all its subsystems. The module can no longer be used for processing.;
GeminiFB.PP2.PRE2;ModuleServiceStateChanged;226001;Is triggered when the service state changed.;226006, 226017
GeminiFB.PP2.PRE2;ModuleServiceSubstateChanged;226002;Is triggered when the service substate changed.;226007, 226018
GeminiFB.PP2.PRE2.Prealignment Process;Process.End;226003;Is triggered on end.;226009, 226008, 226010, 226012, 226011, 226013, 226015, 226016, 226014
GeminiFB.PP2.PRE2.Prealignment Process;Process.Start;226004;Is triggered on start.;226008, 226010, 226012, 226011, 226013, 226015, 226016, 226014
GeminiFB.PP2.PRE2;MachineOperation.InitializeModule.End;226161;Event that is triggered when the operation ends (independent of result). Operation=InitializeModule, Description=Initialization of module and all its subsystems to be ready for usage.;226024
GeminiFB.PP2.PRE2;MachineOperation.InitializeModule.Start;226162;Event that is triggered when the operation starts. Operation=InitializeModule, Description=Initialization of module and all its subsystems to be ready for usage.;
GeminiFB.PP2.PRE2;MachineOperation.ShutDownModule.End;226163;Event that is triggered when the operation ends (independent of result). Operation=ShutDownModule, Description=Shutdown of module and all its subsystems. The module can no longer be used for processing.;226025
GeminiFB.PP2.PRE2;MachineOperation.ShutDownModule.Start;226164;Event that is triggered when the operation starts. Operation=ShutDownModule, Description=Shutdown of module and all its subsystems. The module can no longer be used for processing.;
GeminiFB.PP2.ROB;ModuleServiceStateChanged;227001;Is triggered when the service state changed.;227033, 227035
GeminiFB.PP2.ROB;ModuleServiceSubstateChanged;227002;Is triggered when the service substate changed.;227034, 227036
GeminiFB.PP2.ROB;MachineOperation.InitializeModule.End;227198;Event that is triggered when the operation ends (independent of result). Operation=InitializeModule, Description=Initialization of module and all its subsystems to be ready for usage.;227088
GeminiFB.PP2.ROB;MachineOperation.InitializeModule.Start;227199;Event that is triggered when the operation starts. Operation=InitializeModule, Description=Initialization of module and all its subsystems to be ready for usage.;
GeminiFB.PP2.ROB;MachineOperation.ShutDownModule.End;227200;Event that is triggered when the operation ends (independent of result). Operation=ShutDownModule, Description=Shutdown of module and all its subsystems. The module can no longer be used for processing.;227089
GeminiFB.PP2.ROB;MachineOperation.ShutDownModule.Start;227375;Event that is triggered when the operation starts. Operation=ShutDownModule, Description=Shutdown of module and all its subsystems. The module can no longer be used for processing.;
GeminiFB.SafetyDoorModule.SafetyDoor1;MachineOperation.LockDoor.End;228094;Event that is triggered when the operation ends (independent of result). Operation=LockDoor, Description=Lock safety door to prevent access to equipment internals during operation;228040
GeminiFB.SafetyDoorModule.SafetyDoor1;MachineOperation.LockDoor.Start;228095;Event that is triggered when the operation starts. Operation=LockDoor, Description=Lock safety door to prevent access to equipment internals during operation;
GeminiFB.SafetyDoorModule.SafetyDoor1;MachineOperation.UnlockDoor.End;228096;Event that is triggered when the operation ends (independent of result). Operation=UnlockDoor, Description=Unlock safety door to grant access to equipment;228043
GeminiFB.SafetyDoorModule.SafetyDoor1;MachineOperation.UnlockDoor.Start;228097;Event that is triggered when the operation starts. Operation=UnlockDoor, Description=Unlock safety door to grant access to equipment;
GeminiFB.SafetyDoorModule.SafetyDoor10;MachineOperation.LockDoor.End;228098;Event that is triggered when the operation ends (independent of result). Operation=LockDoor, Description=Lock safety door to prevent access to equipment internals during operation;228046
GeminiFB.SafetyDoorModule.SafetyDoor10;MachineOperation.LockDoor.Start;228099;Event that is triggered when the operation starts. Operation=LockDoor, Description=Lock safety door to prevent access to equipment internals during operation;
GeminiFB.SafetyDoorModule.SafetyDoor10;MachineOperation.UnlockDoor.End;228100;Event that is triggered when the operation ends (independent of result). Operation=UnlockDoor, Description=Unlock safety door to grant access to equipment;228049
GeminiFB.SafetyDoorModule.SafetyDoor10;MachineOperation.UnlockDoor.Start;228101;Event that is triggered when the operation starts. Operation=UnlockDoor, Description=Unlock safety door to grant access to equipment;
GeminiFB.SafetyDoorModule.SafetyDoor11;MachineOperation.LockDoor.End;228102;Event that is triggered when the operation ends (independent of result). Operation=LockDoor, Description=Lock safety door to prevent access to equipment internals during operation;228052
GeminiFB.SafetyDoorModule.SafetyDoor11;MachineOperation.LockDoor.Start;228103;Event that is triggered when the operation starts. Operation=LockDoor, Description=Lock safety door to prevent access to equipment internals during operation;
GeminiFB.SafetyDoorModule.SafetyDoor11;MachineOperation.UnlockDoor.End;228104;Event that is triggered when the operation ends (independent of result). Operation=UnlockDoor, Description=Unlock safety door to grant access to equipment;228055
GeminiFB.SafetyDoorModule.SafetyDoor11;MachineOperation.UnlockDoor.Start;228105;Event that is triggered when the operation starts. Operation=UnlockDoor, Description=Unlock safety door to grant access to equipment;
GeminiFB.SafetyDoorModule.SafetyDoor12;MachineOperation.LockDoor.End;228106;Event that is triggered when the operation ends (independent of result). Operation=LockDoor, Description=Lock safety door to prevent access to equipment internals during operation;228058
GeminiFB.SafetyDoorModule.SafetyDoor12;MachineOperation.LockDoor.Start;228107;Event that is triggered when the operation starts. Operation=LockDoor, Description=Lock safety door to prevent access to equipment internals during operation;
GeminiFB.SafetyDoorModule.SafetyDoor12;MachineOperation.UnlockDoor.End;228108;Event that is triggered when the operation ends (independent of result). Operation=UnlockDoor, Description=Unlock safety door to grant access to equipment;228061
GeminiFB.SafetyDoorModule.SafetyDoor12;MachineOperation.UnlockDoor.Start;228109;Event that is triggered when the operation starts. Operation=UnlockDoor, Description=Unlock safety door to grant access to equipment;
GeminiFB.SafetyDoorModule.SafetyDoor13;MachineOperation.LockDoor.End;228110;Event that is triggered when the operation ends (independent of result). Operation=LockDoor, Description=Lock safety door to prevent access to equipment internals during operation;228064
GeminiFB.SafetyDoorModule.SafetyDoor13;MachineOperation.LockDoor.Start;228111;Event that is triggered when the operation starts. Operation=LockDoor, Description=Lock safety door to prevent access to equipment internals during operation;
GeminiFB.SafetyDoorModule.SafetyDoor13;MachineOperation.UnlockDoor.End;228112;Event that is triggered when the operation ends (independent of result). Operation=UnlockDoor, Description=Unlock safety door to grant access to equipment;228067
GeminiFB.SafetyDoorModule.SafetyDoor13;MachineOperation.UnlockDoor.Start;228113;Event that is triggered when the operation starts. Operation=UnlockDoor, Description=Unlock safety door to grant access to equipment;
